"exposure","outcome","nsnp","ivw_b","ivw_se","ivw_p","wm_b","egger_b","steiger"
"T2D","eGFR",126,0.0156741985876345,0.00891401903508158,0.0786835262510501,0.015594663779071,0.0204108986970857,TRUE
"T2D","HbA1c",126,0.336508792453623,0.0126023433134431,4.45204331609743e-157,0.334842500267266,0.385183914979571,TRUE
"T2D","HDL",126,0.0339525744102785,0.0126619280215399,0.00732995853776562,0.0533538405941933,0.0819518223299235,TRUE
"T2D","HF",137,-0.0371254404639702,0.0213357392748624,0.0818486970892084,-0.0885113595140902,-0.108444713229825,TRUE
"T2D","LDL",126,0.0150594429725135,0.0107230803301814,0.16020118757491,0.0183006127985434,0.0198290096506178,TRUE
"T2D","Stroke",138,-0.013349231374952,0.0151569227589762,0.378461303694102,-0.0396261982440285,-0.0311211489002736,TRUE
"T2D","TC",126,0.012549308913292,0.00989055753333074,0.204506290832283,0.0321416637713386,0.0353646662864122,TRUE
"T2D","TG",126,-0.0187044747389596,0.0145072369779943,0.197286765898106,-0.0182000988450121,-0.0319779801538951,TRUE
"TC","BMI",44,-0.101528345014577,0.025227454522179,5.70921255832464e-05,-0.0790684019986188,-0.135674028138973,TRUE
"TC","CAD",40,0.581680121280956,0.094920634479176,8.89524608916831e-10,0.590832405213936,0.893263574989158,TRUE
"TC","eGFR",44,0.064111255435257,0.0315179369057313,0.0419395311420468,0.0223353931186966,0.00517001938309038,TRUE
"TC","HbA1c",44,-0.00493768948056029,0.0510340561842163,0.922922682476414,0.0131225509057231,0.0309512988662471,TRUE
"TC","HDL",44,0.511199330798222,0.186753122705804,0.00619457657113968,-0.0261762297086208,0.0870337589974385,FALSE
"TC","HF",42,-0.0284099540905202,0.0555113623598608,0.608800587883295,0.0136545098593377,0.127077027083211,TRUE
"TC","LDL",44,0.94309592930264,0.110612678600769,1.51350587197707e-17,0.847234234223723,1.55469404757919,FALSE
"TC","Stroke",40,-0.0258498858877948,0.0458044331539299,0.572513671444944,-0.0148658514982501,-0.0219442475215627,TRUE
"TC","T2D",43,-0.0449749336865232,0.0595603815588111,0.450180022336304,0.00335376849668725,-0.00554391221177403,TRUE
"TC","TG",44,0.110687195821215,0.126992314412253,0.38342364585828,-0.138253160329011,-0.387651005600962,TRUE
"TG","BMI",34,-0.0615248685382655,0.0191857811146145,0.00134222568699067,-0.0537030270792031,-0.0496809367068852,TRUE
"TG","CAD",30,0.226175571597121,0.0486052678328493,3.26642306801334e-06,0.265651341326156,0.309446062579688,TRUE
"TG","eGFR",34,0.0228910791915178,0.0282295636920201,0.417428674862301,-0.0499866309524338,-0.0366515000988266,TRUE
"TG","HbA1c",34,-0.0473344603466428,0.040371305160602,0.241005267180679,-0.0193501582477302,-0.0330074138909173,TRUE
"TG","HDL",34,-0.469944001751264,0.158069063586736,0.00294876031900777,-0.640057102312669,-0.569927882299244,FALSE
"TG","HF",33,0.00225702528365046,0.0404170016476708,0.955466511510513,-0.00828518101041929,0.0260362034236082,TRUE
"TG","LDL",34,-0.114808992265349,0.0510978181627172,0.0246497908213685,-0.124871929864885,-0.131548680166252,TRUE
"TG","Stroke",33,0.0311327860847617,0.037766697830003,0.4097435930125,-0.0155911719195257,-0.0862876033428546,TRUE
"TG","T2D",34,-0.0528717036026625,0.0657368148044884,0.421227396336559,0.0493338887513459,-0.0622637272689161,TRUE
"TG","TC",34,0.123126696798207,0.0621582835605723,0.0476072660665119,0.098369225392601,0.0934055719194994,TRUE
