label,exp,out,b,lo,hi,p,nsnp
LDL->CAD,LDL,CAD,0.5109,0.4457,0.5760,3.093e-53,483
BMI->CAD,BMI,CAD,0.3870,0.3322,0.4418,1.296e-43,504
SBP->Stroke,SBP,Stroke,0.0269,0.0234,0.0303,1.163e-51,434
