exposure,outcome,n_merged,n_pruned,z_sharing_vs_causal,p,gamma_med,gamma_lo,gamma_hi,q_med,expected,verdict
HDL,CAD,15603268,3807,-2.46316263055353,0.00688587165686031,-0.328225903522005,-0.384410184147772,-0.2661564286204,0.0386510319736606,SHARING,CAUSAL(fail)
HDL,T2D,4271827,2227,-1.5367284428649,0.0621799114513588,-0.351108188933868,-0.486614386148924,-0.214150983639432,0.236959417410715,SHARING,SHARING(pass)
