exposure,total,direct,direct_p,pm_product,pm_lo,pm_hi,pm_diff,mediator_condF
BMI,0.525,0.415,1.29e-31,20,16,25,21,12.2
T2D,0.052,0.011,0.406,68,37,142,79,12.2
