exposure,b_hfpef,se_hfpef,b_hfref,se_hfref,diff,p_rho_0.00,p_rho_0.05,p_rho_0.10,p_rho_0.25,p_rho_0.50,Q,Q_p,significant_at_rho0
BMI,0.585212,0.038476,0.565128,0.0454,0.020084,0.7357541867615516,0.7289362757846966,0.7222381514600877,0.6974142034702777,0.6354484532058976,0.11389355607164424,0.7357541867615515,False
CAD,0.163441,0.022716,0.378568,0.027898,-0.215127,2.237218261069929e-09,8.310768422338244e-10,3.058728422508725e-10,5.948954300674471e-12,5.760939544285677e-17,35.7553059813769,2.237218261069929e-09,True
HbA1c,0.022777,0.039861,0.126649,0.041521,-0.103872,0.07112556179476716,0.0637719107464469,0.05714416549323863,0.03719928303702621,0.010737288422199696,3.2568516790083644,0.0711255617947671,False
LDL,0.093897,0.041912,0.194884,0.047886,-0.100987,0.11253210458224726,0.10315918227512998,0.09453697463416323,0.06729111702325874,0.02545610098670205,2.5182963109566563,0.11253210458224733,False
SBP,0.019655,0.00282,0.022375,0.003323,-0.00272,0.532535415523719,0.521588136863677,0.5109138429871035,0.4720789096649557,0.38056944428603806,0.38955117888092106,0.532535415523719,False
T2D,0.013477,0.022276,0.099428,0.023193,-0.085951,0.007522348412952415,0.006041805474352778,0.004843833876042397,0.0020296950026088643,0.00015786654127189205,7.1438025739160285,0.007522348412952409,True
TC,0.094023,0.038459,0.181877,0.041466,-0.087854,0.12032287112643669,0.11057975092665502,0.1015905469874065,0.07299052105665255,0.028252094167296536,2.413113133727489,0.12032287112643669,False
TG,0.066454,0.041433,0.215564,0.052352,-0.149111,0.02552256153144158,0.021875619225493907,0.018737148566443707,0.010243873017528668,0.0018264753427200933,4.988076689395216,0.02552256153144158,True
