edge,eur_b,eur_se,eas_b,eas_se,z,p_int,note,verdict
SBP→CKD,0.276,0.033,0.098,0.224,0.79,0.4315,SBP per-mmHg(EUR) vs per-SD(EAS) -> EUR converted x19.3,not significant
BMI→CKD,0.143,0.029,0.408,0.144,-1.81,0.0709,both per-SD,not significant
BMI→HbA1c,0.225,0.02,-0.234,0.105,4.29,0.0,HbA1c scale non-comparable (Methods),interaction
HbA1c→HF,0.048,0.02,-0.18,0.056,3.82,0.0001,HbA1c scale non-comparable (Methods),interaction
TG→LDL,0.277,0.025,-0.115,0.051,6.86,0.0,both per-SD lipids,interaction
HbA1c→TG,0.069,0.019,-0.091,0.033,4.21,0.0,HbA1c scale non-comparable (Methods),interaction
T2D→HDL,-0.071,0.017,0.034,0.013,-4.97,0.0,T2D log-OR exposure; HDL per-SD,interaction
