"exposure","outcome","nsnp","ivw_b","ivw_se","ivw_p","wm_b","wm_p","egger_b","egger_int","egger_int_p","Q_p","meanF","steiger"
"KoGES_DM","KoGES_BMI",9,-0.0430764987048759,0.0513639485698689,0.40166439714743,-0.0900643634835657,1.85025679475685e-08,-0.160876037565508,0.0267929868171062,0.485999452131223,1.53748048716995e-52,74.1634994974609,TRUE
"KoGES_DM","KoGES_WAIST",9,-0.021905121240775,0.0438763508512821,0.617605633118848,-0.0517339599992636,0.000313134322964311,-0.137508420838344,0.0262797575907242,0.420025018959288,1.03343343747445e-44,74.1634994974609,TRUE
"KoGES_BMI","KoGES_DM",29,0.893142887747966,0.178015938046955,5.24279522585586e-07,0.61229130811501,0.000895817050367196,1.80427575796697,-0.0416159550927367,0.0827424030011739,9.33240470951752e-07,53.9111021658961,TRUE
"KoGES_WAIST","KoGES_DM",15,0.635631434156325,0.770064087003421,0.409129399283572,0.969003124455914,0.00562001238403732,6.32946843058413,-0.217745681726277,0.0191598489432803,9.72575589416961e-54,48.6993727790809,TRUE
