exposure,outcome,nsnp,ivw_b,ivw_se,ivw_p,fdr,tier,stage_dir,steiger,egger_int_p
TG,BMI,157,0.0680,0.0424312665790152,1.09e-01,0.153,5-NS,backward,TRUE,1.01455426119324e-06
TC,Stroke,413,0.0317,0.0219701558471276,1.49e-01,0.207,5-NS,forward,TRUE,0.63840914928882
HF,BMI,14,0.2292,0.159869233792739,1.52e-01,0.208,Steiger-fail,backward,FALSE,0.816054926029827
eGFR,HbA1c,275,-0.1999,0.145530968932066,1.70e-01,0.23,5-NS,same-stage,TRUE,0.783774063428016
HF,TG,45,0.0339,0.0256229601303963,1.86e-01,0.248,5-NS,backward,TRUE,0.102759816195253
eGFR,TC,336,0.2743,0.217675644096809,2.08e-01,0.274,5-NS,same-stage,TRUE,0.855524128227892
SBP,HDL,436,-0.0011,0.000915347915053459,2.37e-01,0.307,5-NS,same-stage,TRUE,0.000462505605277407
eGFR,T2D,232,0.3985,0.337671844751999,2.38e-01,0.307,5-NS,same-stage,TRUE,0.913830849847453
eGFR,LDL,337,0.2525,0.229066342653147,2.70e-01,0.341,5-NS,same-stage,TRUE,0.646281887289493
TG,eGFR,454,0.0027,0.00246135163750988,2.70e-01,0.341,5-NS,same-stage,TRUE,0.00673953154557536
BMI,LDL,505,-0.0212,0.022285045437939,3.41e-01,0.426,5-NS,forward,TRUE,0.0847933830139269
TC,BMI,145,-0.0231,0.0248503612587187,3.53e-01,0.435,5-NS,backward,TRUE,0.632693286498538
TC,T2D,252,-0.0406,0.0454522611570694,3.72e-01,0.454,5-NS,same-stage,TRUE,0.138468563328652
eGFR,HDL,336,0.1173,0.136234969033272,3.89e-01,0.47,5-NS,same-stage,TRUE,0.525826317806557
HF,eGFR,46,-0.0034,0.00403637904022713,3.99e-01,0.476,5-NS,backward,TRUE,0.104711025073984
HbA1c,HDL,342,-0.0140,0.0175023350534623,4.23e-01,0.5,5-NS,same-stage,TRUE,0.00235571897901527
SBP,eGFR,437,-0.0002,0.000200344478497476,4.28e-01,0.5,5-NS,same-stage,TRUE,0.458092100046376
eGFR,HF,326,0.1240,0.16415028025561,4.50e-01,0.52,5-NS,forward,TRUE,0.292308277743352
T2D,BMI,103,0.0097,0.0176736744181817,5.82e-01,0.667,5-NS,backward,TRUE,0.016721486308625
eGFR,Stroke,320,-0.0995,0.188566054377929,5.98e-01,0.672,5-NS,forward,TRUE,0.308208008139789
LDL,BMI,131,-0.0116,0.0220960401879413,5.99e-01,0.672,5-NS,backward,TRUE,0.478707619826512
SBP,HbA1c,399,0.0005,0.00111789363235239,6.31e-01,0.7,5-NS,same-stage,TRUE,0.129750142220862
CAD,eGFR,174,-0.0007,0.00161820175863638,6.72e-01,0.739,5-NS,backward,TRUE,0.500975179391017
HbA1c,eGFR,309,-0.0008,0.00183006822095093,6.79e-01,0.739,5-NS,same-stage,TRUE,0.76196515907072
eGFR,CAD,332,0.0899,0.241362713673993,7.09e-01,0.764,5-NS,forward,TRUE,0.195149725835786
HDL,eGFR,487,0.0008,0.00208033290544818,7.16e-01,0.764,5-NS,same-stage,TRUE,0.0191028439503607
CAD,BMI,76,-0.0045,0.0175491945586688,7.97e-01,0.843,5-NS,backward,TRUE,0.620851352299037
T2D,eGFR,116,-0.0003,0.00141102800960084,8.06e-01,0.844,5-NS,same-stage,TRUE,0.801043569693415
T2D,TC,116,-0.0030,0.0134140790917827,8.24e-01,0.855,5-NS,same-stage,TRUE,0.736187947597447
LDL,T2D,225,-0.0078,0.0575445868509919,8.92e-01,0.914,5-NS,same-stage,TRUE,0.000791157773743972
HbA1c,BMI,110,0.0042,0.0327052280467375,8.97e-01,0.914,5-NS,backward,TRUE,0.0957208820955539
T2D,LDL,116,0.0011,0.0107069465767651,9.18e-01,0.926,5-NS,same-stage,TRUE,0.824509488516008
eGFR,TG,336,0.0114,0.188703974828157,9.52e-01,0.952,5-NS,same-stage,TRUE,0.65703337427089
