"exposure","outcome","cross","direction","nsnp","prev_exp","prev_out","at_base","r2_exp","r2_out","correct_dir"
"T2D","HF","True","forward",115,0.15,0.015,FALSE,0.0349383312154837,0.000770916449417173,TRUE
"T2D","HF","True","forward",115,0.15,0.02,FALSE,0.0349383312154837,0.000770918447092076,TRUE
"T2D","HF","True","forward",115,0.15,0.035,FALSE,0.0349383312154837,0.000770924424677652,TRUE
"T2D","HF","True","forward",115,0.15,0.05,FALSE,0.0349383312154837,0.000770930379104526,TRUE
"T2D","SBP","False","intra",116,0.05,NA,FALSE,0.0356957136605951,0.0018127016575571,TRUE
"T2D","SBP","False","intra",116,0.075,NA,FALSE,0.0357097197885708,0.0018127016575571,TRUE
"T2D","SBP","False","intra",116,0.1,NA,TRUE,0.0357235217914223,0.0018127016575571,TRUE
"T2D","SBP","False","intra",116,0.125,NA,FALSE,0.035737119687223,0.0018127016575571,TRUE
"T2D","SBP","False","intra",116,0.15,NA,FALSE,0.0357505134938994,0.0018127016575571,TRUE
"T2D","Stroke","True","forward",116,0.05,0.02,FALSE,0.0356957136605951,0.00086838946675401,TRUE
"T2D","Stroke","True","forward",116,0.05,0.035,FALSE,0.0356957136605951,0.000868405015747709,TRUE
"T2D","Stroke","True","forward",116,0.05,0.05,FALSE,0.0356957136605951,0.000868420531263345,TRUE
"T2D","Stroke","True","forward",116,0.05,0.065,FALSE,0.0356957136605951,0.000868436013300918,TRUE
"T2D","Stroke","True","forward",116,0.05,0.08,FALSE,0.0356957136605951,0.000868451461860427,TRUE
"T2D","Stroke","True","forward",116,0.075,0.02,FALSE,0.0357097197885708,0.00086838946675401,TRUE
"T2D","Stroke","True","forward",116,0.075,0.035,FALSE,0.0357097197885708,0.000868405015747709,TRUE
"T2D","Stroke","True","forward",116,0.075,0.05,FALSE,0.0357097197885708,0.000868420531263345,TRUE
"T2D","Stroke","True","forward",116,0.075,0.065,FALSE,0.0357097197885708,0.000868436013300918,TRUE
"T2D","Stroke","True","forward",116,0.075,0.08,FALSE,0.0357097197885708,0.000868451461860427,TRUE
"T2D","Stroke","True","forward",116,0.1,0.02,FALSE,0.0357235217914223,0.00086838946675401,TRUE
"T2D","Stroke","True","forward",116,0.1,0.035,FALSE,0.0357235217914223,0.000868405015747709,TRUE
"T2D","Stroke","True","forward",116,0.1,0.05,TRUE,0.0357235217914223,0.000868420531263345,TRUE
"T2D","Stroke","True","forward",116,0.1,0.065,FALSE,0.0357235217914223,0.000868436013300918,TRUE
"T2D","Stroke","True","forward",116,0.1,0.08,FALSE,0.0357235217914223,0.000868451461860427,TRUE
"T2D","Stroke","True","forward",116,0.125,0.02,FALSE,0.035737119687223,0.00086838946675401,TRUE
"T2D","Stroke","True","forward",116,0.125,0.035,FALSE,0.035737119687223,0.000868405015747709,TRUE
"T2D","Stroke","True","forward",116,0.125,0.05,FALSE,0.035737119687223,0.000868420531263345,TRUE
"T2D","Stroke","True","forward",116,0.125,0.065,FALSE,0.035737119687223,0.000868436013300918,TRUE
"T2D","Stroke","True","forward",116,0.125,0.08,FALSE,0.035737119687223,0.000868451461860427,TRUE
"T2D","Stroke","True","forward",116,0.15,0.02,FALSE,0.0357505134938994,0.00086838946675401,TRUE
"T2D","Stroke","True","forward",116,0.15,0.035,FALSE,0.0357505134938994,0.000868405015747709,TRUE
"T2D","Stroke","True","forward",116,0.15,0.05,FALSE,0.0357505134938994,0.000868420531263345,TRUE
"T2D","Stroke","True","forward",116,0.15,0.065,FALSE,0.0357505134938994,0.000868436013300918,TRUE
"T2D","Stroke","True","forward",116,0.15,0.08,FALSE,0.0357505134938994,0.000868451461860427,TRUE
"TC","CAD","True","forward",534,NA,0.03,FALSE,0.0632150314527632,0.01098205468574,TRUE
"TC","CAD","True","forward",534,NA,0.045,FALSE,0.0632150314527632,0.0110016628281795,TRUE
"TC","CAD","True","forward",534,NA,0.06,TRUE,0.0632150314527632,0.0110212612914266,TRUE
"TC","CAD","True","forward",534,NA,0.08,FALSE,0.0632150314527632,0.0110473775199566,TRUE
"TC","CAD","True","forward",534,NA,0.1,FALSE,0.0632150314527632,0.0110734765427652,TRUE
"TC","HF","True","forward",445,NA,0.01,FALSE,0.054843612482247,0.00270325391221202,TRUE
"TC","HF","True","forward",445,NA,0.015,FALSE,0.054843612482247,0.00270350597122813,TRUE
"TC","HF","True","forward",445,NA,0.02,TRUE,0.054843612482247,0.00270375801134384,TRUE
"TC","HF","True","forward",445,NA,0.035,FALSE,0.054843612482247,0.00270451401828854,TRUE
"TC","HF","True","forward",445,NA,0.05,FALSE,0.054843612482247,0.00270526985512973,TRUE
"TG","CAD","True","forward",513,NA,0.03,FALSE,0.052703296911317,0.00800387915343336,TRUE
"TG","CAD","True","forward",513,NA,0.045,FALSE,0.052703296911317,0.008012680723471,TRUE
"TG","CAD","True","forward",513,NA,0.06,TRUE,0.052703296911317,0.0080214786797219,TRUE
"TG","CAD","True","forward",513,NA,0.08,FALSE,0.052703296911317,0.00803320366687613,TRUE
"TG","CAD","True","forward",513,NA,0.1,FALSE,0.052703296911317,0.00804492223015819,TRUE
"TG","HF","True","forward",446,NA,0.01,FALSE,0.0448027776498582,0.00287993327192132,TRUE
"TG","HF","True","forward",446,NA,0.015,FALSE,0.0448027776498582,0.00288006189825642,TRUE
"TG","HF","True","forward",446,NA,0.02,TRUE,0.0448027776498582,0.00288019051110971,TRUE
"TG","HF","True","forward",446,NA,0.035,FALSE,0.0448027776498582,0.00288057626877872,TRUE
"TG","HF","True","forward",446,NA,0.05,FALSE,0.0448027776498582,0.00288096190511149,TRUE
"TG","Stroke","True","forward",430,NA,0.02,FALSE,0.0428805743640818,0.00267834206594204,TRUE
"TG","Stroke","True","forward",430,NA,0.035,FALSE,0.0428805743640818,0.00267827617582035,TRUE
"TG","Stroke","True","forward",430,NA,0.05,TRUE,0.0428805743640818,0.00267821020125578,TRUE
"TG","Stroke","True","forward",430,NA,0.065,FALSE,0.0428805743640818,0.00267814414224831,TRUE
"TG","Stroke","True","forward",430,NA,0.08,FALSE,0.0428805743640818,0.00267807799879795,TRUE
"TG","T2D","False","intra",296,NA,0.05,FALSE,0.0285859524869394,0.0148862170438249,TRUE
"TG","T2D","False","intra",296,NA,0.075,FALSE,0.0285859524869394,0.0148902328887544,TRUE
"TG","T2D","False","intra",296,NA,0.1,TRUE,0.0285859524869394,0.0148942291521002,TRUE
"TG","T2D","False","intra",296,NA,0.125,FALSE,0.0285859524869394,0.0148982058339166,TRUE
"TG","T2D","False","intra",296,NA,0.15,FALSE,0.0285859524869394,0.0149021629342574,TRUE
