"exposure","outcome","cross","direction","nsnp","prev_exp","prev_out","at_base","r2_exp","r2_out","correct_dir"
"CAD","Stroke","False","intra",168,0.06,0.035,FALSE,0.0254481821808042,0.00246662214476022,TRUE
"CAD","Stroke","False","intra",168,0.06,0.05,TRUE,0.0254481821808042,0.0024665943768812,TRUE
"CAD","Stroke","False","intra",168,0.06,0.065,FALSE,0.0254481821808042,0.00246656637563355,TRUE
"CAD","Stroke","False","intra",168,0.06,0.08,FALSE,0.0254481821808042,0.00246653814101725,TRUE
"CAD","Stroke","False","intra",168,0.08,0.02,FALSE,0.0254707397084888,0.0024666496792706,TRUE
"CAD","Stroke","False","intra",168,0.08,0.035,FALSE,0.0254707397084888,0.00246662214476022,TRUE
"CAD","Stroke","False","intra",168,0.08,0.05,FALSE,0.0254707397084888,0.0024665943768812,TRUE
"CAD","Stroke","False","intra",168,0.08,0.065,FALSE,0.0254707397084888,0.00246656637563355,TRUE
"CAD","Stroke","False","intra",168,0.08,0.08,FALSE,0.0254707397084888,0.00246653814101725,TRUE
"CAD","Stroke","False","intra",168,0.1,0.02,FALSE,0.0254932569093818,0.0024666496792706,TRUE
"CAD","Stroke","False","intra",168,0.1,0.035,FALSE,0.0254932569093818,0.00246662214476022,TRUE
"CAD","Stroke","False","intra",168,0.1,0.05,FALSE,0.0254932569093818,0.0024665943768812,TRUE
"CAD","Stroke","False","intra",168,0.1,0.065,FALSE,0.0254932569093818,0.00246656637563355,TRUE
"CAD","Stroke","False","intra",168,0.1,0.08,FALSE,0.0254932569093818,0.00246653814101725,TRUE
"CAD","T2D","True","backward",128,0.03,0.05,FALSE,0.0191523796500032,0.00347167166529807,TRUE
"CAD","T2D","True","backward",128,0.03,0.075,FALSE,0.0191523796500032,0.0034716469320475,TRUE
"CAD","T2D","True","backward",128,0.03,0.1,FALSE,0.0191523796500032,0.0034716201791139,TRUE
"CAD","T2D","True","backward",128,0.03,0.125,FALSE,0.0191523796500032,0.00347159140649569,TRUE
"CAD","T2D","True","backward",128,0.03,0.15,FALSE,0.0191523796500032,0.00347156061419133,TRUE
"CAD","T2D","True","backward",128,0.045,0.05,FALSE,0.0191612389029104,0.00347167166529807,TRUE
"CAD","T2D","True","backward",128,0.045,0.075,FALSE,0.0191612389029104,0.0034716469320475,TRUE
"CAD","T2D","True","backward",128,0.045,0.1,FALSE,0.0191612389029104,0.0034716201791139,TRUE
"CAD","T2D","True","backward",128,0.045,0.125,FALSE,0.0191612389029104,0.00347159140649569,TRUE
