"exposure","outcome","nsnp","nb_dist","raw_b","raw_p","corrected_b","corrected_p","global_RSSobs","global_p","n_outliers","distortion_p"
"HF","CAD",45,1000,0.806897542357364,2.55066848429192e-06,0.508780325784962,9.53684381256793e-11,2102.83904369283,"<0.001",13,"<0.001"
"T2D","CAD",116,1000,0.128975010422208,5.02388897680342e-08,0.115254066696727,4.39256558998524e-15,1095.24026583022,"<0.001",14,"0.217"
"T2D","HF",115,1000,0.0524635251614278,0.000111689027315623,0.0479293515071986,0.000133154541993001,400.349440431157,"<0.001",10,"0.591"
"CAD","T2D",128,1000,0.167535619614003,4.31092469638105e-06,0.146720235516717,1.28169971394874e-07,688.074578392449,"<0.001",13,"0.375"
"HF","T2D",33,1000,0.421687219666153,0.00123268739259167,0.420120838176068,9.76511025745678e-08,310.835417236812,"<0.001",7,"0.969"
