exposure,outcome,b_eur,se_eur,p_eur,b_eas,se_eas,z_eur,z_eas,eur_sig,magnitude_eligible,b_eur_conv
BMI,CAD,0.386980879552735,0.0279435910765911,1.29633992655145e-43,0.16193285958307,0.10115399735235,13.84864524004993,1.6008547741223593,True,True,0.386980879552735
BMI,HDL,-0.27517312545267,0.0168547947598807,6.43661206328049e-60,-0.193464775028893,0.0502295380795367,-16.326103602736346,-3.8516136605227858,True,True,-0.27517312545267
BMI,HF,0.524647616025081,0.0198987598338068,3.37817527193691e-153,0.450654292067649,0.0733862173459062,26.365844927367593,6.140857348505761,True,True,0.524647616025081
BMI,HbA1c,0.225059907255927,0.0200560723326648,3.19674807566143e-29,-0.23378084085272,0.10505113375448,11.221534482071938,-2.2254004549736734,True,False,0.225059907255927
BMI,LDL,-0.0212092096105021,0.022285045437939,0.34123704208085,0.00154450620434141,0.0382189738975236,-0.9517238665528879,0.04041202698122375,False,True,-0.0212092096105021
BMI,Stroke,0.151320703449841,0.0249397594549907,1.29958355931216e-09,0.156618843441132,0.0647703974542854,6.067448393916252,2.4180621023928834,True,True,0.151320703449841
BMI,T2D,0.990296297660629,0.0631954506060068,2.4115907281671e-55,-0.153084956572478,0.27776685170181,15.670373233583687,-0.5511275216411307,True,True,0.990296297660629
BMI,TC,-0.0521557414170524,0.0214131811291346,0.014863665339257,-0.0225812446572272,0.0321975259497278,-2.43568394170494,-0.701334776233579,False,True,-0.0521557414170524
BMI,TG,0.205053241874296,0.0203341602767924,6.49077698524579e-24,0.164340947269178,0.0366182626909865,10.084175549079621,4.487950415780651,True,True,0.205053241874296
BMI,eGFR,-0.0034423941661755,0.0018827904553055,0.0674974993356676,-0.0716069380134477,0.0320318305970667,-1.8283469392333096,-2.23549315411293,False,False,-0.0034423941661755
CAD,BMI,-0.00451497374271174,0.0175491945586688,0.796966282868568,-0.0317666842551182,0.0131849439195604,-0.25727526853826305,-2.4093150830919376,False,True,-0.00451497374271174
CAD,HDL,-0.105009781898007,0.0349540810175797,0.00266261898047977,-0.0724413024072852,0.0509933615678186,-3.0042209333208816,-1.4206026074774836,False,True,-0.105009781898007
CAD,HF,0.285128893290755,0.0122601074227689,1.21868603143507e-119,0.0727043885225405,0.0308789097160626,23.25663906999925,2.354499857380687,True,True,0.285128893290755
CAD,HbA1c,0.0311895233873966,0.0145958124134005,0.0326076206786298,0.00230623759216782,0.0199462430261376,2.136881627689413,0.11562265581271225,False,False,0.0311895233873966
