"ancestry","exposure","outcome","nsnp","ivw_b","ivw_se","ivw_p","egger_b","egger_p","egger_intercept","egger_intercept_p","wm_b","wm_p","Q","Q_p","steiger_correct","steiger_p"
"EAS","SBP","CKD",21,0.09785890575807,0.297185660328713,0.741939961373869,0.239056964790037,0.82235479568566,-0.00508007842956138,0.8897411645737,0.516506968745705,0.141773464055809,35.2157428557169,0.0189848883794305,TRUE,2.51785474448449e-115
"EAS","BMI","CKD",61,0.422972788692084,0.195327749564666,0.0303531177691102,0.871811579109674,0.131603257275529,-0.014838014884495,0.405317443355745,0.831672216085674,0.000867041976269356,107.915887204306,0.000146915124419193,TRUE,1.38888267351487e-281
